"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_WT8","baseMean_WT2","mgi_symbol","chromosome_name"
"ENSMUSG00000004535",20191.8564693807,2.28347339064822,0.104298083731679,21.8937233451264,2.98139736529189e-106,4.93451077929461e-102,61602.1060469531,12545.5355020215,"Tax1bp1","6"
"ENSMUSG00000026822",13700.6579533482,7.49850070979716,0.373867945377579,20.056548849686,1.76946927748151e-89,1.46432430057982e-85,76084.6805685202,383.962794203875,"Lcn2","2"
"ENSMUSG00000036053",2213.51689475841,4.48066212106242,0.223968108944654,20.0058041395959,4.90216388943458e-89,2.70452381780106e-85,8458.9786541974,358.471989895321,"Fmnl2","2"
"ENSMUSG00000049409",712.246617432243,5.71821233040453,0.296834592302572,19.26396881862,1.07791188379883e-82,4.4601298971886e-79,4831.16468791227,104.096816951107,"Prokr1","6"
"ENSMUSG00000027360",1071.85188736451,4.89196076570803,0.261654489156448,18.6962615527037,5.30995652951575e-78,1.7577018104003e-74,4561.02694363146,166.259824016622,"Hdc","2"
"ENSMUSG00000042228",24621.8762541458,1.75617939450139,0.100608032905159,17.4556578017672,3.11765489810158e-68,8.6000510364132e-65,44501.9959453541,12983.3650757221,"Lyn","4"
"ENSMUSG00000025790",6690.95632531299,4.69358894697216,0.273836801799608,17.1400955464229,7.45281075429745e-66,1.7621638684911e-62,14985.2917845001,576.775474922368,"Slco3a1","7"
"ENSMUSG00000021886",4544.30992789639,-4.16628908846969,0.248169051643626,-16.7881089961714,2.98195660768246e-63,6.16929547671906e-60,187.515774090919,3539.87674968395,"Gpr65","12"
"ENSMUSG00000029084",2984.07596003058,6.01804736743435,0.366268093180512,16.4307169515538,1.15287802049082e-60,2.12014267968261e-57,7424.35186632927,117.69720802201,"Cd38","5"
"ENSMUSG00000024679",16921.8753580688,2.48151691166658,0.153698932670482,16.145309980693,1.22531396883332e-58,2.02801714981602e-55,65046.4426491777,11983.8458289442,"Ms4a6d","19"
"ENSMUSG00000022353",3271.52544340093,-3.64614697865127,0.227269335546513,-16.0432861295758,6.36930592902515e-58,9.58348931193594e-55,552.637119060866,6773.52060516456,"Mtss1","15"
"ENSMUSG00000027281",756.56437184897,2.43396545434483,0.152626329188414,15.9472187222701,2.97870247803133e-57,4.10837539282471e-54,1934.25015100871,370.188192546967,"2210009G21Rik","2"
"ENSMUSG00000057135",1490.13396856127,5.13369597303557,0.322780437061231,15.9046069203436,5.88716508959058e-57,7.4952668767549e-54,4327.18078655083,126.177203467303,"A430084P05Rik","11"
"ENSMUSG00000038344",639.041851765161,1.75738437118305,0.11126949569991,15.7939456823157,3.42471285261435e-56,4.04874445883001e-53,1235.58119157671,362.58019340332,"Txlng","X"
"ENSMUSG00000026820",516.665761888187,2.09826720526155,0.133112258769042,15.7631402596975,5.57905439247548e-56,6.15592861665745e-53,1362.66821091856,314.79122721724,"Ptges2","2"
"ENSMUSG00000027555",10337.8956140155,1.84852372983222,0.117605894247015,15.717951397484,1.13948875507283e-55,1.17872989907565e-52,22815.9498549798,6284.82605676947,"Car13","3"
"ENSMUSG00000024589",1697.11669104815,-2.80603045801805,0.181108178453622,-15.4936705894627,3.82797022431675e-54,3.72686677545097e-51,620.629663028062,4493.15212430381,"Nedd4l","18"
"ENSMUSG00000066456",906.20389894647,3.45039086283608,0.225000315417605,15.3350490039629,4.45936123638757e-53,4.10038265685837e-50,3053.9424621501,267.404628024779,"Hmgn3","9"
"ENSMUSG00000024381",2844.06855934191,-1.56450865291371,0.102601378840514,-15.2484174247367,1.6867190638871e-52,1.46930985402081e-49,1191.76421301976,3473.73123947085,"Bin1","18"
"ENSMUSG00000027219",24956.0624898001,4.18397980859871,0.276327065137798,15.1414042866639,8.63499688822403e-52,7.14589167484979e-49,120405.360968524,7049.95260684768,"Slc28a2","2"
"ENSMUSG00000039967",2507.76121583855,2.7375559067096,0.181280885975062,15.1011834037825,1.59052978603427e-51,1.25356468993587e-48,4664.68823773021,700.831933656899,"Zfp292","4"
"ENSMUSG00000039294",3091.53814172687,2.05134084630054,0.136057494870915,15.0770146712371,2.29409750645178e-51,1.72589126496743e-48,5672.46188123687,1391.61248722366,"BC017643","11"
"ENSMUSG00000021686",6378.71725440732,1.03376089853692,0.0686828802520591,15.0512164711661,3.38943885835071e-51,2.43906967585054e-48,12573.9744334764,6183.9215602623,"Ap3b1","13"
"ENSMUSG00000025076",2982.59351163703,3.07580989792286,0.204758733338093,15.0216298361455,5.2988625016288e-51,3.65422805268576e-48,8277.41441975748,1006.85245680616,"Casp7","19"
"ENSMUSG00000021614",2492.629449924,5.52962709488994,0.369896559700465,14.9491173947866,1.57827082116988e-50,1.04487841444731e-47,16119.6750519419,336.586403542778,"Vcan","13"
"ENSMUSG00000027439",1660.15486999855,1.49720897478068,0.100627996016537,14.878652403399,4.53542974628409e-50,2.88714991272107e-47,2891.60333712397,1015.84249664437,"Gzf1","2"
"ENSMUSG00000050737",6804.08448564099,6.09516612007377,0.411264390612267,14.8205540260844,1.07890900502015e-49,6.61371220077355e-47,55460.7582682953,808.398749020334,"Ptges","2"
