Rep_Sample,Rep,Sample,Genotype,Timepoint,Gene,MeanCounts
1__WT_0h,1,WT_0h,WT,0h,Stat1,17.966480446927374
1__WT_0h,1,WT_0h,WT,0h,Il12b,2.0670391061452515
1__WT_0h,1,WT_0h,WT,0h,Actb,174.96648044692736
1__WT_2h,1,WT_2h,WT,2h,Stat1,25.40568862275449
1__WT_2h,1,WT_2h,WT,2h,Il12b,65.39820359281437
1__WT_2h,1,WT_2h,WT,2h,Actb,183.45958083832335
1__WT_8h,1,WT_8h,WT,8h,Stat1,49.869249394673126
1__WT_8h,1,WT_8h,WT,8h,Il12b,72.28571428571429
1__WT_8h,1,WT_8h,WT,8h,Actb,207.43825665859563
1__Rad21KO_0h,1,Rad21KO_0h,Rad21KO,0h,Stat1,10.8375
1__Rad21KO_0h,1,Rad21KO_0h,Rad21KO,0h,Il12b,1.5145833333333334
1__Rad21KO_0h,1,Rad21KO_0h,Rad21KO,0h,Actb,160.56041666666667
1__Rad21KO_2h,1,Rad21KO_2h,Rad21KO,2h,Stat1,24.077220077220076
1__Rad21KO_2h,1,Rad21KO_2h,Rad21KO,2h,Il12b,17.776061776061777
1__Rad21KO_2h,1,Rad21KO_2h,Rad21KO,2h,Actb,193.8011583011583
1__Rad21KO_8h,1,Rad21KO_8h,Rad21KO,8h,Stat1,41.8862660944206
1__Rad21KO_8h,1,Rad21KO_8h,Rad21KO,8h,Il12b,17.206008583690988
1__Rad21KO_8h,1,Rad21KO_8h,Rad21KO,8h,Actb,252.95278969957081
2__WT_0h,2,WT_0h,WT,0h,Stat1,18.28397212543554
2__WT_0h,2,WT_0h,WT,0h,Il12b,1.721254355400697
2__WT_0h,2,WT_0h,WT,0h,Actb,311.07142857142856
2__WT_2h,2,WT_2h,WT,2h,Stat1,14.25
2__WT_2h,2,WT_2h,WT,2h,Il12b,15.542207792207792
2__WT_2h,2,WT_2h,WT,2h,Actb,308.1525974025974
2__WT_8h,2,WT_8h,WT,8h,Stat1,29.265700483091788
2__WT_8h,2,WT_8h,WT,8h,Il12b,27.579710144927535
2__WT_8h,2,WT_8h,WT,8h,Actb,158.42995169082127
2__Rad21KO_0h,2,Rad21KO_0h,Rad21KO,0h,Stat1,11.649880095923262
2__Rad21KO_0h,2,Rad21KO_0h,Rad21KO,0h,Il12b,0.580335731414868
2__Rad21KO_0h,2,Rad21KO_0h,Rad21KO,0h,Actb,275.74340527577937
2__Rad21KO_2h,2,Rad21KO_2h,Rad21KO,2h,Stat1,10.23
2__Rad21KO_2h,2,Rad21KO_2h,Rad21KO,2h,Il12b,3.0866666666666664
2__Rad21KO_2h,2,Rad21KO_2h,Rad21KO,2h,Actb,318.9533333333333
2__Rad21KO_8h,2,Rad21KO_8h,Rad21KO,8h,Stat1,38.666666666666664
2__Rad21KO_8h,2,Rad21KO_8h,Rad21KO,8h,Il12b,5.847517730496454
2__Rad21KO_8h,2,Rad21KO_8h,Rad21KO,8h,Actb,305.1276595744681
3__WT_0h,3,WT_0h,WT,0h,Stat1,12.159353348729793
3__WT_0h,3,WT_0h,WT,0h,Il12b,0.5288683602771362
3__WT_0h,3,WT_0h,WT,0h,Actb,262.71824480369514
3__WT_2h,3,WT_2h,WT,2h,Stat1,8.96304347826087
3__WT_2h,3,WT_2h,WT,2h,Il12b,16.17608695652174
3__WT_2h,3,WT_2h,WT,2h,Actb,289.2173913043478
