Slide,Well,Genotype,Rep,Timepoint,Probe (type),Set,Name
Slide1,U 0_V 0 (1),WT,7,DMSO-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,WT_DMSO-LPS_7
Slide1,U 0_V 1 (1),Rad21KO,7,DMSO-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,Rad21KO_DMSO-LPS_7
Slide1,U 1_V 0 (1),WT,7,BD1-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,WT_BD1-LPS_7
Slide1,U 1_V 1 (1),Rad21KO,7,BD1-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,Rad21KO_BD1-LPS_7
Slide1,U 2_V 0 (1),WT,7,BD2-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,WT_BD2-LPS_7
Slide1,U 2_V 1 (1),Rad21KO,7,BD2-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,Rad21KO_BD2-LPS_7
Slide1,U 3_V 0 (1),WT,7,BD2-5u-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,WT_BD2-5u-LPS_7
Slide1,U 3_V 1 (1),Rad21KO,7,BD2-5u-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,Rad21KO_BD2-5u-LPS_7
Slide2,U 0_V 0 (1),WT,8,DMSO-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,WT_DMSO-LPS_8
Slide2,U 0_V 1 (1),Rad21KO,8,DMSO-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,Rad21KO_DMSO-LPS_8
Slide2,U 1_V 0 (1),WT,8,BD1-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,WT_BD1-LPS_8
Slide2,U 1_V 1 (1),Rad21KO,8,BD1-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,Rad21KO_BD1-LPS_8
Slide2,U 2_V 0 (1),WT,8,BD2-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,WT_BD2-LPS_8
Slide2,U 2_V 1 (1),Rad21KO,8,BD2-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,Rad21KO_BD2-LPS_8
Slide2,U 3_V 0 (1),WT,8,BD2-5u-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,WT_BD2-5u-LPS_8
Slide2,U 3_V 1 (1),Rad21KO,8,BD2-5u-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,Rad21KO_BD2-5u-LPS_8
Slide3,U 0_V 0 (1),WT,7,DMSO,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,WT_DMSO_7
Slide3,U 0_V 1 (1),Rad21KO,7,DMSO,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,Rad21KO_DMSO_7
Slide3,U 1_V 0 (1),WT,8,DMSO,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,WT_DMSO_8
Slide3,U 1_V 1 (1),Rad21KO,8,DMSO,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,Rad21KO_DMSO_8
Slide3,U 2_V 0 (1),WT,7,PAN-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,WT_PAN-LPS_7
Slide3,U 2_V 1 (1),Rad21KO,7,PAN-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,Rad21KO_PAN-LPS_7
Slide3,U 3_V 0 (1),WT,8,PAN-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,WT_PAN-LPS_8
Slide3,U 3_V 1 (1),Rad21KO,8,PAN-LPS,"Il12b_intron(4),HSS1(1)",Il12b_HSS1_BD,Rad21KO_PAN-LPS_8
