"Set_Image","Object_Nbr","CenterX_Cells_Location_","CenterY_Cells_Location_","TouchesImageBorder_Cells_TagImageBorder_","Cd40","Atf3","Tnf","Area","Eccentricity_Cells_AreaShape_","Extent_Cells_AreaShape_","EulerNumber_Cells_AreaShape_","Perimeter_Cells_AreaShape_","FormFactor_Cells_AreaShape_","MajorAxisLength_Cells_AreaShape_","MinorAxisLength_Cells_AreaShape_","Orientation_Cells_AreaShape_","Genotype","Timepoint","Sample","Replicate"
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",4,161.743,1067.01,0,30,2,20,16475,0.976394,0.287141,1,1205.0,0.142343,363.682,78.5535,-68.0614,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",5,225.775,1571.53,0,11,0,3,19609,0.938478,0.534014,1,1092.13,0.206214,290.586,100.351,-85.0669,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",6,278.498,467.383,0,49,4,16,24862,0.636045,0.683886,1,976.111,0.327234,208.211,160.666,8.68839,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",7,362.557,1147.48,0,5,3,0,13724,0.772931,0.453536,1,739.791,0.314267,183.27,116.283,-49.9985,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",8,374.292,1541.93,0,37,3,1,13173,0.812741,0.520754,1,740.733,0.300884,181.575,105.79,-68.2578,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",9,413.662,1822.45,0,4,4,7,10759,0.544019,0.504644,1,642.683,0.326315,132.043,110.794,71.9403,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",10,446.347,460.269,0,42,5,6,9303,0.700406,0.517408,1,608.04,0.315167,135.755,96.8947,-71.8161,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",11,499.469,1584.62,0,11,2,1,11206,0.75842,0.524233,1,621.677,0.363191,156.236,101.829,-65.6933,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",12,473.525,866.641,0,54,1,39,23222,0.859814,0.496059,1,1059.31,0.259564,252.365,128.859,-68.3721,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",13,612.756,116.686,0,30,2,1,12491,0.76607,0.541956,1,674.208,0.344296,164.643,105.825,-29.2461,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",14,641.272,622.379,0,21,2,3,27091,0.733776,0.645762,1,1108.1,0.276755,229.86,156.165,-25.8735,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",15,697.802,1092.2,0,15,0,1,19604,0.792859,0.496668,1,1002.01,0.244873,209.439,127.633,62.7572,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",16,682.1,1856.98,0,15,1,1,15290,0.923666,0.295333,1,1009.77,0.188066,284.541,109.036,-74.6696,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",17,825.623,1259.24,0,4,14,3,16701,0.867422,0.448229,1,865.87,0.279283,234.672,116.766,9.96013,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",18,812.758,438.602,0,6,1,15,16204,0.640941,0.488366,1,769.307,0.343166,171.739,131.825,-22.5295,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",19,844.211,1972.09,0,4,2,10,8223,0.764013,0.631809,1,466.695,0.472405,131.731,84.9926,10.7536,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",20,833.096,932.14,0,5,1,0,7430,0.709061,0.545321,1,483.664,0.397482,120.369,84.8777,-65.1115,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",21,919.694,291.185,0,29,3,10,16198,0.751204,0.451223,1,780.621,0.33318,192.213,126.874,-52.2443,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",22,1024.59,1638.37,0,11,2,9,13268,0.977458,0.315589,1,898.19,0.206211,320.336,67.633,20.5864,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",23,1022.2,1851.05,0,37,5,9,12219,0.962742,0.266814,1,890.863,0.193041,296.431,80.1614,-47.6707,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",24,1039.5,1403.6,0,6,2,18,13820,0.855831,0.46784,1,786.336,0.280155,198.857,102.86,-65.9106,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",25,1094.27,837.092,0,63,2,47,29429,0.833997,0.423049,1,1247.39,0.237293,293.272,161.819,-4.92076,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",26,1072.53,211.952,0,50,11,19,12142,0.940071,0.454671,1,800.71,0.237392,221.777,75.6212,14.3845,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",27,1110.79,1191.0,0,58,4,17,14889,0.689832,0.615604,1,656.736,0.432486,164.651,119.202,-14.6438,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",28,1157.03,296.785,0,73,1,9,11804,0.719224,0.60664,1,598.224,0.413105,152.227,105.764,55.4374,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",29,1161.84,1693.99,0,8,0,2,11725,0.785821,0.563187,1,612.001,0.392103,160.966,99.5502,16.6141,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",31,1279.38,1464.04,0,21,0,6,17793,0.875897,0.50675,1,815.496,0.335391,226.197,109.14,-59.3226,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",32,1300.94,388.963,0,13,4,4,13720,0.828429,0.597379,1,653.7,0.402234,184.098,103.112,-74.6393,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",33,1404.79,1410.2,0,10,0,38,10159,0.710989,0.61015,1,551.638,0.418003,140.915,99.0917,-83.0339,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",34,1478.43,1189.38,0,123,6,21,25977,0.854753,0.542703,1,960.605,0.353025,257.265,133.529,-28.1788,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",35,1559.37,166.018,0,20,3,19,9766,0.894151,0.362994,1,739.733,0.223668,193.88,86.8128,46.3907,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",36,1618.87,779.971,0,32,1,9,12705,0.870579,0.371393,1,821.882,0.235781,198.941,97.8848,-46.99,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",37,1731.53,1346.56,0,24,1,53,12649,0.893858,0.389056,1,891.06,0.199746,230.392,103.296,13.1845,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",38,1820.94,218.393,0,5,13,26,12013,0.951273,0.384785,1,776.411,0.249781,238.964,73.6842,-23.2696,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",39,1811.91,140.954,0,3,1,1,8695,0.844334,0.421924,1,561.494,0.345337,154.029,82.5312,-34.886,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",40,1795.08,874.121,0,36,1,10,12372,0.934935,0.348213,1,986.076,0.159569,253.601,89.9827,-53.0997,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",41,1831.71,472.534,0,10,3,5,19026,0.928651,0.47259,1,1075.07,0.206478,282.16,104.668,-12.0973,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",42,1833.84,682.134,0,19,1,64,15061,0.719659,0.576542,1,823.386,0.278485,170.255,118.213,-37.7963,"Rad21KO","8h","Rad21KO_8h",1
"Set #1, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position001_C1_MAX.tif",43,1927.99,1705.77,0,9,4,4,15382,0.485289,0.605352,1,772.276,0.323261,153.388,134.115,55.851,"Rad21KO","8h","Rad21KO_8h",1
"Set #2, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position002_C1_MAX.tif",4,68.7231,172.491,0,4,0,5,12486,0.788831,0.613322,1,567.846,0.484891,162.861,100.096,77.1722,"Rad21KO","8h","Rad21KO_8h",1
"Set #2, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position002_C1_MAX.tif",5,101.006,457.94,0,53,7,35,13823,0.652535,0.534946,1,672.977,0.382404,166.563,126.214,-86.0845,"Rad21KO","8h","Rad21KO_8h",1
"Set #2, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position002_C1_MAX.tif",6,94.1124,1346.6,0,24,1,8,13009,0.675774,0.475788,1,820.938,0.241978,172.387,127.068,-21.3575,"Rad21KO","8h","Rad21KO_8h",1
"Set #2, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position002_C1_MAX.tif",7,153.452,1232.21,0,34,3,8,9572,0.958158,0.316461,1,660.374,0.274991,219.552,62.8447,-53.8565,"Rad21KO","8h","Rad21KO_8h",1
"Set #2, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position002_C1_MAX.tif",8,175.718,1481.23,0,26,1,5,10963,0.661377,0.501923,1,658.421,0.316821,147.467,110.608,-24.943,"Rad21KO","8h","Rad21KO_8h",1
"Set #2, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position002_C1_MAX.tif",9,186.382,540.583,0,78,1,21,10175,0.781419,0.611111,1,536.098,0.443238,146.54,91.4417,65.2003,"Rad21KO","8h","Rad21KO_8h",1
"Set #2, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position002_C1_MAX.tif",10,169.056,1635.7,0,4,0,11,11305,0.916835,0.55433,1,574.28,0.429261,199.589,79.6892,79.0412,"Rad21KO","8h","Rad21KO_8h",1
"Set #2, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position002_C1_MAX.tif",12,267.381,763.028,0,26,7,6,18627,0.590821,0.489,1,902.708,0.286613,182.679,147.386,-76.6121,"Rad21KO","8h","Rad21KO_8h",1
"Set #2, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position002_C1_MAX.tif",13,241.18,1167.48,0,3,2,0,9205,0.747766,0.61576,1,526.785,0.415259,137.432,91.2495,89.4064,"Rad21KO","8h","Rad21KO_8h",1
"Set #2, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position002_C1_MAX.tif",14,346.158,1901.55,0,63,2,24,14150,0.727017,0.554445,1,703.758,0.358003,167.077,114.718,-72.8685,"Rad21KO","8h","Rad21KO_8h",1
"Set #2, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position002_C1_MAX.tif",15,414.17,839.524,0,18,0,2,9298,0.878072,0.500619,1,533.285,0.409311,166.235,79.5482,33.6356,"Rad21KO","8h","Rad21KO_8h",1
"Set #2, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position002_C1_MAX.tif",16,393.011,1659.74,0,42,5,9,8599,0.860342,0.430122,1,645.064,0.258885,158.629,80.8558,-70.7585,"Rad21KO","8h","Rad21KO_8h",1
"Set #2, 9Dec_8hFL_cd40_tnf_atf3_Mark_and_Find_001_Position002_C1_MAX.tif",18,422.314,650.78,0,11,1,45,7284,0.724088,0.566231,1,462.864,0.425401,123.427,85.1282,-86.8048,"Rad21KO","8h","Rad21KO_8h",1
